"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"33","control","62-268","mar 9",TRUE,"logistic",FALSE,FALSE,0,0.00567363576157902,1569.84116080212,1.27160864043047,3373.70015935278,0.00149029631062791,33.7481331569332,0.0232946237423603,0.00322209833059611,0.00812517319256193,1514.32548175896,1625.35683984527,1.23328898437429,1.30992829648666,0.00275265499274831,0.00859461653040972,1503.69481981453,1635.98750178971,1.22595117789545,1.3172661029655,0.0225520884045447,4271.00445476542,1.86787105860917,3413.9445591922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","control","ec102","mar 9",TRUE,"gompertz",FALSE,FALSE,0,2.14689177725079e-05,-240.962472586073,0.0268591163348674,102.277273028921,1.53674943770554e-06,52.2295810041693,0.000254517348110116,1.89409649474823e-05,2.39968705975335e-05,-326.880133337932,-155.044811834215,0.0264404352972263,0.0272777973725085,1.84568888746051e-05,2.44809466704108e-05,-343.332451354245,-138.592493817901,0.0263602623325716,0.0273579703371632,0.000142626398091284,3164.02201300462,0.0364028738617459,102.180341846112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","control","q1f2","mar 9",TRUE,"richards",FALSE,FALSE,0,0.00404112411066539,1170.65220979456,2.03406765862332,5962.01957610313,0.000180807568777217,14.9809872002726,0.0086525426856526,0.00374369566002687,0.00433855256130391,1146.00848585011,1195.29593373901,2.01983422590542,2.04830109134122,0.00368674127586204,0.00439550694546873,1141.28947488203,1200.0149447071,2.01710867495944,2.0510266422872,0.0182735702521902,1367.72198164966,2.21377499541937,5999.18474126268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","control","q1b4","mar 9",TRUE,"gompertz",FALSE,FALSE,0,2.89248288833122e-05,-51.884526703376,0.0140356773863823,57.4740014470634,1.66606491655023e-06,16.0884048207362,6.22380917150681e-05,2.61841520955871e-05,3.16655056710373e-05,-78.349952633487,-25.419100773265,0.013933295725511,0.0141380590472536,2.56593416468738e-05,3.21903161197507e-05,-83.417800152019,-20.3512532547331,0.0139136907266208,0.0141576640461439,5.553048365858e-05,21.0037336325385,0.0160238678545585,57.4384604957978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","control","bb362","mar 9",TRUE,"gompertz",FALSE,FALSE,0,5.59414862082218e-05,1.47403165351673,0.0167072354607972,69.4540861599116,3.18494488136728e-06,9.50818288301029,6.04044532381123e-05,5.07022518783726e-05,6.11807205380709e-05,-14.1669291890352,17.1149924960687,0.0166078701352205,0.0168066007863739,4.96989942407419e-05,6.21839781757016e-05,-17.1620067971834,20.1100701042169,0.0165888427324505,0.0168256281891439,8.15192854316055e-05,18.4965590879063,0.0192398930898146,69.438643854303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","control","02-343","mar 9",TRUE,"gompertz",FALSE,FALSE,0,1.61933074562424e-05,-605.722412132939,0.0490228281981248,152.820096694909,4.41710908568204e-07,42.1724248244862,0.000476034537669703,1.54666930116477e-05,1.69199219008371e-05,-675.096050969219,-536.348773296659,0.0482397513836581,0.0498059050125915,1.53275540754487e-05,1.7059060837036e-05,-688.380364788932,-523.064459476946,0.0480898005042922,0.0499558558919574,8.25412602131061e-05,8.67224107427915,0.0520319195007461,152.607195514347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","control","ec124","mar 9",TRUE,"gompertz",FALSE,FALSE,0,4.90909119360787e-06,-1448.32502185874,0.0158412838157265,56.4227799795046,3.57569145802945e-07,151.675524895179,0.000239321686064179,4.32088994876203e-06,5.49729243845372e-06,-1697.83126031131,-1198.81878340617,0.0154475996421509,0.016234967989302,4.2082556678341e-06,5.60992671938164e-06,-1745.60905065329,-1151.04099306419,0.0153722133110407,0.0163103543204123,5.39216099436549e-05,17.2724931400378,0.0164265418131448,56.4440662906838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","control","11-228","mar 9",TRUE,"gompertz",FALSE,FALSE,0,8.32851514900856e-06,-931.607145224484,0.016709621951662,64.4103342561044,6.23495834273197e-07,106.113400793952,0.000148637627177081,7.30286450162915e-06,9.35416579638797e-06,-1106.16368953054,-757.050600918433,0.0164651130549557,0.0169541308483683,7.10646331383309e-06,9.55056698418402e-06,-1139.58941078063,-723.624879668338,0.0164182922023949,0.0170009517009291,6.65627612339789e-05,13.308166550156,0.0180241139385859,64.4254057314403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","control","scc187","mar 9",TRUE,"gompertz",FALSE,FALSE,0,4.29632889973598e-05,-23.5533620745319,0.0158735004043916,65.6837431825898,2.08801063554695e-06,10.2078214526521,5.26178131940492e-05,3.95285115018851e-05,4.63980664928346e-05,-40.3452283641446,-6.76149578491918,0.0157869441016874,0.0159600567070958,3.88707881516878e-05,4.70557898430318e-05,-43.56069212173,-3.54603202733377,0.0157703694905312,0.0159766313182519,6.80890263228915e-05,15.3285537447419,0.017850487878787,65.6609733789624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","control","ec116","mar 9",TRUE,"gompertz",FALSE,FALSE,0,2.36820342264071e-06,-2814.55882236457,0.0190271496101116,48.6893206609412,1.9390248191167e-07,306.391854416759,0.00150800072295154,2.04923383989601e-06,2.68717300538541e-06,-3318.57342288014,-2310.544221849,0.0165464884208563,0.0215078107993669,1.98815455809384e-06,2.74825228718758e-06,-3415.08685702142,-2214.03078770772,0.0160714681931266,0.0219828310270966,4.09864554796811e-05,10.3962290284521,0.014987192369226,48.7269417661983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","control","p. caro","mar 9",TRUE,"gompertz",FALSE,FALSE,0,4.53431952957963e-05,-6.47418799308935,0.0169883653264332,69.9879772909051,1.85140419130419e-06,8.57335330929432,4.94944340304521e-05,4.22976354011009e-05,4.83887551904917e-05,-20.5773541868785,7.62897820069982,0.0169069469824531,0.0170697836704133,4.17144430808401e-05,4.89719475107525e-05,-23.2779604793062,10.3295844931275,0.0168913562357335,0.0170853744171329,6.48376124758317e-05,18.4364359258043,0.0181825551450616,69.9628794872466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","control","ec52","mar 9",TRUE,"gompertz",FALSE,FALSE,0,0.000868307575676634,602.591380854109,2.33541294607339,5211.45956511538,2.09647415940228e-05,28.6061646574983,0.0345860403761678,0.000833820575754466,0.000902794575598801,555.534239992524,649.648521715694,2.27851890965459,2.39230698249218,0.000827216682152349,0.000909398469200918,546.523298125412,658.659463582805,2.2676243069361,2.40320158521068,0.00223137045047483,1781.59540344991,2.21736775845116,5173.65865938919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","control","62-268","mar 9",TRUE,"logistic",FALSE,FALSE,0,0.0023530320527517,1370.275588705,1.66015637415623,4336.23543602801,0.000165250890255672,28.1596647443817,0.0158954986728571,0.00208119433828112,0.00262486976722228,1323.95294020049,1416.59823720951,1.63400827883938,1.68630446947308,0.00202914030785058,0.00267692379765282,1315.08264580601,1425.46853160399,1.62900119675743,1.69131155155503,0.0152613606705352,1550.95923335227,1.87726751769222,4342.26219499774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","control","ec102","mar 9",TRUE,"gompertz",FALSE,FALSE,0,8.32903200587271e-06,-854.946956678505,0.0372254828214052,98.2754308019043,2.79032443987814e-07,67.3668674547929,0.000878893241497849,7.87002363551276e-06,8.78804037623267e-06,-965.76545364164,-744.128459715371,0.0357797034391413,0.0386712622036692,7.7821284156566e-06,8.87593559608883e-06,-986.986016889899,-722.907896467111,0.0355028520680694,0.038948113574741,5.32205934056656e-05,12.5586208200176,0.0336610166937027,98.241801435736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","control","q1f2","mar 9",TRUE,"richards",FALSE,FALSE,0,0.00279812307269575,1037.75728513138,2.01845299237946,5968.95778712226,0.000102427165356019,17.3742983285304,0.0088753947109549,0.0026296303856851,0.00296661575970641,1009.17656438095,1066.33800588181,2.00385296807994,2.03305301667898,0.00259736582859796,0.00299888031679355,1003.70366040746,1071.8109098553,2.00105721874599,2.03584876601293,0.0156183360013692,1339.66577930315,2.13968506422224,5974.23888896993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","control","q1b4","mar 9",TRUE,"gompertz",FALSE,FALSE,0,1.61654396574275e-05,-168.116265342824,0.013450948926896,53.6619411857903,9.67707017773671e-07,29.8025098456898,7.78183786810421e-05,1.45735616131898e-05,1.77573177016652e-05,-217.141394038983,-119.091136646664,0.0133229376939657,0.0135789601598264,1.42687339025911e-05,1.80621454122639e-05,-226.529184640376,-109.703346045272,0.0132984249046812,0.0136034729491109,4.48061967167612e-05,25.8823787157146,0.0152670377233106,53.6197982324414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
