"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"27","control","ec124","feb 15",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","control","11-228","feb 15",TRUE,"richards",FALSE,FALSE,0,3.77472599185293e-06,39.5919537029376,0.0112998374243412,28.3754649199189,5.93848392299974e-08,17.4063134083763,0.000176671611954851,3.67703793131959e-06,3.87241405238628e-06,10.9585681461586,68.2253392597167,0.0110092126226755,0.0115904622260069,3.65833170696214e-06,3.89112027674373e-06,5.47557942252003,73.7083279833552,0.0109535610649097,0.0116461137837727,1.12481637088146e-05,882.207616540707,0.0100068205599467,28.3651626602824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","control","scc187","feb 15",TRUE,"logistic",FALSE,FALSE,0,0.000823309094172083,2704.92034934106,0.522561270575199,686.000545481604,5.53781761858072e-06,2.38972444656336,0.000725806630243444,0.000814199384189518,0.000832418804154648,2700.98925262646,2708.85144605566,0.521367318668448,0.523755222481949,0.000812454971639665,0.000834163216704501,2700.2364894258,2709.60420925633,0.521138689579922,0.523983851570476,0.000930797263901722,2738.24588937102,0.53114407012938,684.128005395596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","control","ec116","feb 15",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","control","p. caro","feb 15",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","control","ec52","feb 15",TRUE,"logistic",FALSE,FALSE,0,0.00174857600372538,680.127983818663,0.362091892781628,1285.90885026629,0.00114836475534433,78.0376950016685,0.0136278488718974,-0.000140484018816042,0.0036376360262668,551.755975540918,808.499992096407,0.339674081387357,0.384509704175899,-0.000502218916749505,0.00399937092420026,527.174101615392,833.081866021933,0.335381308992709,0.388802476570547,0.00216978739853384,728.245565504919,0.699492772849305,1293.39713088216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","control","62-268","feb 15",TRUE,"gompertz",FALSE,FALSE,0,0.00156141980177982,1015.268532812,1.16186164021851,3355.44078454062,0.000238277525576644,61.0300097137017,0.0250990123405238,0.00116945327220624,0.0019533863313534,914.874166832959,1115.66289879104,1.12057376491834,1.20314951551867,0.00109439585164959,0.00202844375191004,895.649713773143,1134.88735185085,1.11266757603108,1.21105570440593,0.00417671239000376,1117.54370100019,1.37103614327176,3350.74015647108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","control","ec102","feb 15",TRUE,"richards",FALSE,FALSE,0,9.94983421612035e-06,603.806895488616,0.0327511526748673,63.1033280341683,9.3042559144052e-08,13.4325752430422,0.000494837900624156,9.79677920632838e-06,1.01028892259123e-05,581.710309213812,625.90348176342,0.0319371443283406,0.0335651610213941,9.76747080019801e-06,1.01321976320427e-05,577.479048012253,630.134742964979,0.031781270389644,0.0337210349600907,1.05561114337362e-05,537.13943521313,0.0273617477611857,63.0050415575348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","control","q1f2","feb 15",TRUE,"logistic",FALSE,FALSE,0,0.000754564180398397,791.197954923596,0.16889665781083,579.634174255496,0.000351645948117314,59.8408527623925,0.00478461496282492,0.000176106595745415,0.00133302176505138,692.75975212946,889.636157717731,0.161025966196983,0.176767349424677,6.53381220884608e-05,0.00144379023870833,673.909883509306,908.486026337885,0.159518812483693,0.178274503137966,0.00222342717843923,4130.23443075061,0.420996813334325,582.623399831528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","control","q1b4","feb 15",TRUE,"gompertz",FALSE,FALSE,0,5.08011684255419e-07,479.177706030529,0.00273213410899719,3.87479752856753,2.46315727584493e-08,108.611234679033,0.000454065006851117,4.6749274706777e-07,5.48530621443069e-07,300.51222498352,657.843187077538,0.0019851971727271,0.00347907104526728,4.59733801648859e-07,5.5628956686198e-07,266.299686059625,692.055726001434,0.001842166695569,0.00362210152242538,9.21226430289901e-06,1651.73688734719,0.00201693627941871,3.82550111287139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
